T_X,T_Y,M_Z
40042114,0.1051778793334961,0.4224657416343689
0.10426826775074005,0.5025429725646973,0.4892879128456116
-0.38999614119529724,0.0038369297981262207,0.29743340611457825
0.0593351386487484,0.4572060704231262,0.36611664295196533
-0.35023802518844604,-0.06975173950195312,0.16379103064537048
0.022101212292909622,0.4093008041381836,0.2683063745498657
-0.30249539017677307,-0.13746604323387146,0.10649662464857101
-0.007407569792121649,0.3595947325229645,0.15864796936511993
-0.2461610734462738,-0.18165364861488342,0.06806878000497818
-0.029112434014678,0.31039032340049744,0.10888751596212387
-2.1267638206481934,4.458869457244873,3.837782382965088
-0.21980801224708557,0.6875247955322266,0.7645257711410522
-0.2976531982421875,0.19994384050369263,0.7036544680595398
-0.2268848419189453,0.6431992650032043,0.7697543501853943
-0.25468865036964417,0.18771791458129883,0.6546078324317932
-0.22941246628761292,0.6017918586730957,0.6605850458145142
-0.22170411050319672,0.11128723621368408,0.48719170689582825
-0.22871170938014984,0.55720055103302,0.5297623872756958
-0.16162548959255219,0.013951122760772705,0.3932551145553589
-0.22261296212673187,0.5078142285346985,0.4234389662742615
-0.10721416771411896,-0.05399063229560852,0.3247639834880829
-0.21212215721607208,0.456741064786911,0.35713958740234375
0.0007640868425369263,-0.11684823036193848,0.281552791595459
-0.192768856883049,0.40459656715393066,0.33725863695144653
0.05678558349609375,-0.17024630308151245,0.2558620572090149
-0.17008209228515625,0.35233813524246216,0.3175515830516815
0.12922419607639313,-0.19884806871414185,0.27350178360939026
-0.14287243783473969,0.3022302985191345,0.31457290053367615
-4.496807098388672,1.725933313369751,4.079502582550049
-0.5386846661567688,0.4316578507423401,0.9578828811645508
-0.21175920963287354,-0.02749541401863098,0.9390195608139038
-0.5089641809463501,0.38991662859916687,0.9544622898101807
-0.21726131439208984,-0.025770604610443115,0.8658861517906189
-0.14156800508499146,-0.05678880214691162,0.8024769425392151
-0.45145684480667114,0.3149527311325073,0.8211851119995117
-0.45145684480667114,0.3149527311325073,0.7872875332832336
-0.03724479675292969,-0.09646937251091003,0.6811786890029907
-0.4138011932373047,0.27755072712898254,0.7273956537246704
0.03909739851951599,-0.07602643966674805,0.5994472503662109
-0.3726285994052887,0.2454073429107666,0.6502580642700195
0.14253273606300354,-0.07648849487304688,0.515887975692749
-0.3257957398891449,0.21614408493041992,0.5762757062911987
0.21496430039405823,-0.07281656563282013,0.46258360147476196
-0.2766357362270355,0.18987493216991425,0.5062662959098816
