Cosstrack_Error,Angular_Error,x,y,theta,x_desired,y_desired,theta_desired
,0.7157635688781738,26.0,0.0,1.5707963705062866
4.610401762896987,0.8268333673477173,25.406648010015488,-4.572060567326844,0.7439630031585693,26.0,0.0,1.5707963705062866
4.610401762896987,0.7952395677566528,25.406648010015488,-4.572060567326844,0.7755568027496338,26.0,0.0,1.5707963705062866
4.610401762896987,0.7702600955963135,25.406648010015488,-4.572060567326844,0.8005362749099731,26.0,0.0,1.5707963705062866
4.610401762896987,0.7426666021347046,25.406648010015488,-4.572060567326844,0.828129768371582,26.0,0.0,1.5707963705062866
4.610401762896987,0.7142916917800903,25.406648010015488,-4.572060567326844,0.8565046787261963,26.0,0.0,1.5707963705062866
4.0989707297739955,0.6860932111740112,25.778988393954933,-4.09300805197563,0.8847031593322754,26.0,0.0,1.5707963705062866
4.0989707297739955,0.6582052707672119,25.778988393954933,-4.09300805197563,0.9125910997390747,26.0,0.0,1.5707963705062866
4.0989707297739955,0.6258761882781982,25.778988393954933,-4.09300805197563,0.9449201822280884,26.0,0.0,1.5707963705062866
4.0989707297739955,0.6017411947250366,25.778988393954933,-4.09300805197563,0.96905517578125,26.0,0.0,1.5707963705062866
4.0989707297739955,0.5743350982666016,25.778988393954933,-4.09300805197563,0.9964612722396851,26.0,0.0,1.5707963705062866
3.5967101065635005,0.5473859310150146,26.074076429009438,-3.5959472011309117,1.023410439491272,26.0,0.0,1.5707963705062866
3.5967101065635005,0.520301103591919,26.074076429009438,-3.5959472011309117,1.0504952669143677,26.0,0.0,1.5707963705062866
3.5967101065635005,0.49800682067871094,26.074076429009438,-3.5959472011309117,1.0727895498275757,26.0,0.0,1.5707963705062866
3.5967101065635005,0.46978890895843506,26.074076429009438,-3.5959472011309117,1.1010074615478516,26.0,0.0,1.5707963705062866
3.5967101065635005,0.4456000328063965,26.074076429009438,-3.5959472011309117,1.1251963376998901,26.0,0.0,1.5707963705062866
3.1175260972868726,0.4212292432785034,26.29112516157329,-3.10390320525039,1.1495671272277832,26.0,0.0,1.5707963705062866
3.1175260972868726,0.40208959579467773,26.29112516157329,-3.10390320525039,1.1687067747116089,26.0,0.0,1.5707963705062866
3.1175260972868726,0.38335561752319336,26.29112516157329,-3.10390320525039,1.1874407529830933,26.0,0.0,1.5707963705062866
3.1175260972868726,0.36537277698516846,26.29112516157329,-3.10390320525039,1.2054235935211182,26.0,0.0,1.5707963705062866
3.1175260972868726,0.3402634859085083,26.29112516157329,-3.10390320525039,1.2305328845977783,26.0,0.0,1.5707963705062866
2.669241272275535,0.32189857959747314,26.44072095770389,-2.6326059346320108,1.2488977909088135,26.0,0.0,1.5707963705062866
7.218073612067994,1.0907655954360962,26.44072095770389,-2.6326059346320108,1.265428900718689,24.24264144897461,4.242641925811768,2.356194496154785
7.218073612067994,1.0793938636779785,26.44072095770389,-2.6326059346320108,1.2768006324768066,24.24264144897461,4.242641925811768,2.356194496154785
7.218073612067994,1.0676852464675903,26.44072095770389,-2.6326059346320108,1.2885092496871948,24.24264144897461,4.242641925811768,2.356194496154785
